id,Suburb,neighboring_suburbs,area,percent_area_affected,bushfire_affected
9052,DOUBLE BRIDGES,"DEPTFORD, BUCHAN SOUTH, TAMBO CROSSING, BRUTHEN, TIMBARRA, NOWA NOWA",156.38156356155673,96.72,Yes
9053,TAWONGA,"CORAL BANK, MONGANS BRIDGE, ESKDALE",3.72253164250746,2.31,Yes
9061,MIOWERA,,0.017898590138575303,0.011,Yes
9086,GOONGERAH,"NURRAN, COMBIENBAR, YALMY, BONANG, BENDOC, ERRINUNDRA, CLUB TERRACE",310.39425902396744,81.058,Yes
9090,MOUNT GLASGOW,,0.2648284591055829,1.967,Yes
9896,GOROKE,,16.320571600396086,4.568,Yes
9575,BANDIANA,LENEVA,0.6404803102292185,3.108,Yes
9079,KOORLONG,,0.16315071436661696,0.109,Yes
9607,TORRUMBARRY,,0.005820992242694769,0.004,Yes
9074,BULLUMWAAL,"DEPTFORD, WATERHOLES, CLIFTON CREEK, RYANS",93.55054973900748,72.67,Yes
9085,WONNANGATTA,,0.17451284275692985,0.085,Yes
9023,WARRENMANG,,0.10588457462901704,0.069,Yes
9025,SANDY CREEK,TALLANDOON,1.473803513877355,1.308,Yes
9265,ORBOST,"NURRAN, YALMY, JARRAHMOND",149.4670810500999,60.727,Yes
9681,COLBINABBIN,,0.1144434099000744,0.079,Yes
11018,NOWHERE CREEK,,0.008483778407673214,0.044,Yes
8948,COLAC COLAC,"CORRYONG, CUDGEWA, NARIEL VALLEY, THOWGLA VALLEY",36.99517026137707,100.0,Yes
8779,GOORNONG,AVONMORE,0.6323391787931192,0.454,Yes
8780,CARBOOR,"WHOROULY SOUTH, BUFFALO RIVER, EDI UPPER",24.761470864877197,17.396,Yes
9293,ERRINUNDRA,"NURRAN, CABBAGE TREE CREEK, GOONGERAH, CLUB TERRACE",304.07211076428786,100.0,Yes
9294,CLUB TERRACE,"TAMBOON, COMBIENBAR, NOORINBEE NORTH, NOORINBEE, BELLBIRD CREEK, TONGHI CREEK, BEMM RIVER, CABBAGE TREE CREEK, GOONGERAH, ERRINUNDRA",595.0344353177311,100.0,Yes
9296,MUMBANNAR,,0.005769652853648353,0.001,Yes
8769,POMONAL,,0.08069439552942007,0.035,Yes
8770,MARAMINGO CREEK,"GENOA, WALLAGARAUGH, WANGARABELL, WROXHAM",119.3864826079358,100.0,Yes
8952,CUDGEWA,"GUYS FOREST, WALWA, LUCYVALE, PINE MOUNTAIN, TOWONG, BERRINGAMA, TINTALDRA, CORRYONG, COLAC COLAC, NARIEL VALLEY",281.8236882857058,100.0,Yes
8953,NARIEL VALLEY,"TOM GROGGIN, COBBERAS, DARTMOUTH, BENAMBRA, LUCYVALE, BIGGARA, COLAC COLAC, CUDGEWA, THOWGLA VALLEY",1347.6837863439243,94.188,Yes
9509,LEXTON,"CHUTE, MOUNT LONARCH, AMPHITHEATRE",6.959100698457147,4.385,Yes
8889,THOWGLA VALLEY,"CORRYONG, BIGGARA, COLAC COLAC, NARIEL VALLEY",107.65473896999306,71.622,Yes
8980,CANN RIVER,"TAMBOON, NOORINBEE, TONGHI CREEK",133.161495962003,100.0,Yes
8884,SHELFORD,"MEREDITH, MOUNT MERCER",2.8449426431553873,1.419,Yes
8856,GELLIBRAND,,0.009553446628104324,0.009,Yes
8863,HARRIETVILLE,BUCKLAND,0.04097841597051452,0.03,Yes
9187,WABONGA,ROSE RIVER,4.302308285485303,1.257,Yes
9189,HAMILTON,,0.007667081704798252,0.003,Yes
8869,STUART MILL,CARAPOOEE,0.001227963379500672,0.001,Yes
8870,BINDI,NUNNIONG,21.693582694451255,12.266,Yes
9179,EAST BENDIGO,,0.05486906536508917,0.43,Yes
8922,STOCKDALE,,0.11628552552286227,0.115,Yes
8938,OZENKADNOOK,PATYAH,0.01808658118098157,0.011,Yes
9112,AMHERST,,0.09698229250537,0.256,Yes
9115,JEFFCOTT NORTH,,0.46050721871630484,0.511,Yes
9001,MITTA MITTA,"NELSE, ESKDALE",42.79374851327257,4.671,Yes
9003,ESKDALE,"UPPER GUNDOWRING, MONGANS BRIDGE, TAWONGA, MITTA MITTA",27.384835545402186,7.764,Yes
10222,WODONGA,LENEVA,0.032317116318095994,0.075,Yes
9241,TIMBARRA,"BUCHAN SOUTH, BUCHAN, TAMBO CROSSING, ENSAY, REEDY FLAT, DOUBLE BRIDGES",179.01819787634344,100.0,Yes
9949,STRATHBOGIE,,0.003230054305978581,0.002,Yes
8985,PERRY BRIDGE,,0.009618129637741297,0.006,Yes
8986,YACKANDANDAH,,0.012713060705990075,0.008,Yes
8909,CORNDALE,LAKE MUNDI,0.020523118056599284,0.013,Yes
8913,TOOLLEEN,MYOLA,3.39728174813655,1.89,Yes
9170,ROSE RIVER,"DANDONGADALE, EDI UPPER, ABBEYARD, WABONGA",106.24418928202867,37.854,Yes
10693,EVERTON UPPER,MURMUNGEE,0.0011299872283293203,0.001,Yes
10655,SMYTHESDALE,SCARSDALE,0.0744264224999328,0.162,Yes
10585,SCARSDALE,SMYTHESDALE,0.008156076153793247,0.011,Yes
10825,REYNARD,,2.4129304548971833,0.541,Yes
10546,SEPARATION CREEK,,0.002196953143971849,0.005,Yes
10538,CONNEWIRRICOO,,0.598779939202777,1.094,Yes
