LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-37.304,148.2907,326.6,2019-11-25,1240,W TREE
-37.3056,148.2734,348.5,2019-11-25,1240,W TREE
-37.3072,148.2565,413.5,2019-11-25,1240,W TREE
-37.309,148.2384,376.9,2019-11-25,1240,W TREE
-37.2864,148.3566,328.9,2019-11-25,1240,YALMY
-37.2895,148.3244,321.4,2019-11-25,1240,W TREE
-37.2911,148.3076,328.8,2019-11-25,1240,W TREE
-37.2929,148.289,339.7,2019-11-25,1240,W TREE
-37.2945,148.27200000000002,347.5,2019-11-25,1240,W TREE
-37.2961,148.2551,399.6,2019-11-25,1240,W TREE
-37.2979,148.2368,356.2,2019-11-25,1240,W TREE
-37.2738,148.3714,304.9,2019-11-25,1240,YALMY
-37.2754,148.3549,323.3,2019-11-25,1240,YALMY
-37.2771,148.3371,327.3,2019-11-25,1240,W TREE
-37.2785,148.3218,322.8,2019-11-25,1240,W TREE
-37.2801,148.3055,327.0,2019-11-25,1240,W TREE
-37.2818,148.2877,337.7,2019-11-25,1240,W TREE
-37.2835,148.27,335.9,2019-11-25,1240,BUTCHERS RIDGE
-37.285,148.2534,354.4,2019-11-25,1240,BUTCHERS RIDGE
-37.2842,148.3667,316.0,2019-11-25,1240,YALMY
-37.2859,148.3496,325.9,2019-11-25,1240,YALMY
-37.2875,148.3338,317.5,2019-11-25,1240,W TREE
-37.2891,148.3181,323.1,2019-11-25,1240,W TREE
-37.2909,148.3005,331.5,2019-11-25,1240,W TREE
-37.2927,148.2824,338.3,2019-11-25,1240,W TREE
-37.2944,148.2659,354.2,2019-11-25,1240,W TREE
-37.2961,148.2484,384.7,2019-11-25,1240,BUTCHERS RIDGE
-37.2731,148.3653,312.5,2019-11-25,1240,YALMY
-37.2749,148.3478,322.2,2019-11-25,1240,YALMY
-37.2766,148.3313,326.9,2019-11-25,1240,W TREE
-37.2781,148.3159,321.4,2019-11-25,1240,W TREE
